Latitude,Longitude,Mean_daily_range,Volume,Supply_air_temperature,Nb_of_people,Relative_humidity,Space_type,Wall_area,Door_area,Partition_area,Roof_area,Window_area,Skylight_area,Spaces,Cooling_load,Heating_load
42,71,9,1162,12,9,46,0,347,32,0,283,0,0,9,28509,26495
42,71,9,6192,12,33,46,0,544,40,0,1088,0,0,7,102290,79776
42,71,9,2166,12,14,46,0,363,34,0,459,0,0,9,44121,37120
42,71,9,3222,12,20,46,0,488,38,0,671,0,0,10,64493,53315
42,71,9,8772,12,46,46,0,668,40,0,1490,0,0,9,139232,106746
42,71,9,36710,12,153,46,0,1300,22,0,4936,0,0,9,454907,327403
42,71,9,7193,12,40,46,0,657,38,0,1305,0,0,9,122845,95919
42,71,9,1871,12,12,46,0,333,12,0,392,0,0,2,38511,33081
42,71,9,5356,12,30,46,0,537,46,0,989,0,0,10,93034,73340
42,71,9,2722,12,18,46,0,439,22,0,573,0,0,7,54673,45984
42,71,9,12371,12,61,46,0,786,30,0,1973,0,0,7,183566,138463
42,71,9,1191,12,9,46,0,330,24,0,283,0,0,6,28045,26116
42,71,9,2307,12,15,46,0,378,26,0,483,0,0,6,46548,39778
42,71,9,9828,12,49,46,0,660,46,0,1599,0,0,14,148430,112635
42,71,9,2964,12,19,46,0,439,48,0,613,0,0,11,58615,48427
42,71,9,2208,12,15,46,0,468,32,0,499,0,0,10,49159,42688
42,71,9,2396,12,16,46,0,391,22,0,504,0,0,7,48551,40564
42,71,9,5671,12,31,46,0,532,68,0,1028,0,0,17,96071,75708
42,71,9,14923,12,77,46,0,1040,24,0,2503,0,0,10,234381,176701
42,71,9,38884,12,156,46,0,1255,2,0,4989,0,0,1,460305,329505
42,71,9,104787,12,346,46,0,1965,22,0,11154,0,0,6,1019095,712653
42,71,9,30234,12,134,46,0,1321,20,0,4321,0,0,7,400032,291635
42,71,9,6032,12,34,46,0,567,36,0,1097,0,0,11,102452,80403
42,71,9,246821,12,608,46,0,2384,26,0,19609,0,0,8,1778217,1221979
42,71,9,5304,12,31,46,0,567,22,0,998,0,0,5,93821,74578
42,71,9,5003,12,29,46,0,551,58,0,956,0,0,16,90007,71677
42,71,9,3876,12,23,46,0,473,40,0,760,0,0,10,71963,57955
42,71,9,2878,12,19,46,0,465,18,0,603,0,0,6,57622,48401
42,71,9,3635,12,23,46,0,540,50,0,756,0,0,10,71897,60171
42,71,9,15861,12,75,46,0,884,56,0,2466,0,0,13,228184,170312
42,71,9,3847,12,23,46,0,478,26,0,751,0,0,7,71004,57559
42,71,9,5963,12,35,46,0,639,44,0,1137,0,0,15,107403,85181
42,71,9,9043,12,49,46,0,742,42,0,1593,0,0,10,148345,114685
42,71,9,7986,12,44,46,0,739,46,0,1424,0,0,9,133844,104653
42,71,9,4699,12,27,46,0,529,58,0,904,0,0,14,84927,68101
42,71,9,3363,12,21,46,0,449,18,0,666,0,0,4,64074,52200
42,71,9,4284,12,27,46,0,601,22,0,880,0,0,7,84484,68510
42,71,9,2516,12,16,46,0,423,47,0,533,0,0,10,51801,44306
42,71,9,2865,12,18,46,0,433,44,0,600,0,0,11,56751,47398
42,71,9,6358,12,37,46,0,647,18,0,1188,0,0,4,112950,88463
42,71,9,5195,12,29,46,0,514,56,0,958,0,0,16,89553,70563
42,71,9,11025,12,54,46,0,715,50,0,1764,0,0,11,164139,124487
42,71,9,54116,12,202,46,0,1457,42,0,6548,0,0,12,599729,426881
42,71,9,23881,12,99,46,0,934,36,0,3219,0,0,8,296661,216499
42,71,9,5756,12,34,46,0,672,46,0,1130,0,0,14,106732,85749
42,71,9,5407,12,31,46,0,552,58,0,1004,0,0,11,94463,75168
42,71,9,2809,12,18,46,0,438,16,0,585,0,0,6,56471,46911
42,71,9,48775,12,179,46,0,1294,40,0,5781,0,0,10,529342,376709
42,71,9,15874,12,72,46,0,799,10,0,2323,0,0,2,215960,159683
42,71,9,2096,12,15,46,0,458,8,0,471,0,0,2,47005,40781
42,71,9,28363,12,119,46,0,1100,46,0,3868,0,0,14,356076,258917
42,71,9,14325,12,71,46,0,868,12,0,2284,0,0,5,213267,159038
42,71,9,4754,12,28,46,0,547,26,0,925,0,0,14,87608,69990
42,71,9,12892,12,63,46,0,782,44,0,2054,0,0,10,189932,142786
42,71,9,2369,12,16,46,0,434,22,0,515,0,0,7,49475,42428
42,71,9,17368,12,77,46,0,816,16,0,2478,0,0,3,229546,169068
42,71,9,33297,12,130,46,0,1072,24,0,4193,0,0,5,385019,277569
42,71,9,2173,12,14,46,0,350,22,0,450,0,0,6,43359,36614
42,71,9,2000,12,14,46,0,442,28,0,456,0,0,10,44190,39309
42,71,9,14127,12,67,46,0,802,54,0,2206,0,0,16,203256,152161
42,71,9,2162,12,15,46,0,404,26,0,473,0,0,9,45882,39452
42,71,9,3151,12,20,46,0,474,40,0,645,0,0,10,62093,51955
42,71,9,20016,12,99,46,0,1162,22,0,3217,0,0,7,299754,221863
42,71,9,4403,12,26,46,0,493,30,0,831,0,0,8,78707,62626
42,71,9,6881,12,40,46,0,679,10,0,1270,0,0,2,119730,94651
42,71,9,123016,12,385,46,0,2044,26,0,12438,0,0,10,1133048,789697
42,71,9,22685,12,100,46,0,1012,14,0,3228,0,0,6,298445,218322
42,71,9,6039,12,35,46,0,625,44,0,1141,0,0,12,107460,84530
42,71,9,1875,12,13,46,0,417,30,0,428,0,0,7,42421,37188
42,71,9,4875,12,30,46,0,634,30,0,987,0,0,11,92800,75591
42,71,9,4947,12,29,46,0,579,61,0,975,0,0,19,91404,73838
42,71,9,7190,12,41,46,0,728,32,0,1347,0,0,13,126269,100050
42,71,9,25736,12,111,46,0,1039,20,0,3565,0,0,5,329530,239288
42,71,9,27686,12,120,46,0,1145,48,0,3899,0,0,11,359200,261637
42,71,9,3767,12,23,46,0,489,42,0,751,0,0,11,71161,58518
42,71,9,8725,12,47,46,0,755,66,0,1570,0,0,15,145808,113796
42,71,9,2684,12,17,46,0,426,24,0,560,0,0,6,54123,45061
42,71,9,3018,12,19,46,0,433,18,0,611,0,0,4,58205,48116
42,71,9,11463,12,56,46,0,716,66,0,1830,0,0,14,169352,127794
42,71,9,1031,12,8,46,0,285,16,0,244,0,0,4,24104,22551
42,71,9,102108,12,314,46,0,1752,32,0,10145,0,0,8,924065,647045
42,71,9,190289,12,522,46,0,2318,28,0,16819,0,0,7,1528606,1056480
42,71,9,2046,12,13,46,0,353,46,0,438,0,0,12,42224,36263
42,71,9,3055,12,19,46,0,444,48,0,633,0,0,12,59881,49690
42,71,9,3282,12,20,46,0,456,44,0,670,0,0,13,63868,52198
42,71,9,4803,12,30,46,0,666,70,0,993,0,0,17,94756,78302
42,71,9,3977,12,25,46,0,535,10,0,800,0,0,7,76237,62288
42,71,9,2382,12,16,46,0,402,18,0,506,0,0,7,48978,41009
42,71,9,2583,12,16,46,0,381,40,0,528,0,0,8,50342,42205
42,71,9,4334,12,25,46,0,496,58,0,827,0,0,12,77631,62632
42,71,9,11850,12,59,46,0,788,50,0,1924,0,0,11,178888,135799
42,71,9,2246,12,15,46,0,408,26,0,490,0,0,8,46816,40157
42,71,9,3173,12,21,46,0,523,28,0,675,0,0,8,65526,54482
42,71,9,4671,12,27,46,0,499,28,0,875,0,0,6,82570,65974
42,71,9,70894,12,242,46,0,1530,32,0,7821,0,0,8,713839,503436
42,71,9,2482,12,16,46,0,439,18,0,532,0,0,5,51095,43580
42,71,9,100367,12,328,46,0,1946,40,0,10602,0,0,13,965277,679493
42,71,9,4000,12,24,46,0,492,60,0,792,0,0,14,74649,61102
42,71,9,3076,12,19,46,0,416,22,0,612,0,0,9,58380,47628
42,71,9,11808,12,61,46,0,862,22,0,1972,0,0,5,184148,140634
42,71,9,10599,12,54,46,0,726,22,0,1749,0,0,6,162474,123200
42,71,9,34700,12,143,46,0,1226,58,0,4660,0,0,14,426232,308443
